State,AccountLength,AreaCode,Phone,IntlPlan,VMailPlan,VMailMessage,DayMins,DayCalls,DayCharge,EveMins,EveCalls,EveCharge,NightMins,NightCalls,NightCharge,IntlMins,IntlCalls,IntlCharge,CustServCalls,Churn
WA,134,408,387-5811,yes,no,0,228.3,105,38.81,249.3,93,21.19,247.6,86,11.14,8.5,2,2.29,4,True
CO,83,415,352-8997,no,yes,28,202.8,114,34.48,254.9,112,21.67,186.3,91,8.38,12.7,3,3.43,1,False
FL,124,408,341-3992,no,no,0,169.2,106,28.76,202.1,86,17.18,153.5,95,6.91,9.9,3,2.67,4,False
NY,84,415,399-3612,yes,yes,39,250.2,110,42.53,224.6,81,19.09,150.1,92,6.75,10.1,5,2.73,3,True
WI,145,408,398-4315,no,no,0,205.5,98,34.94,186.2,120,15.83,166.8,100,7.51,8.8,3,2.38,5,False
TN,83,510,336-3710,yes,no,0,183.2,110,31.14,180.0,119,15.3,232.9,85,10.48,7.7,3,2.08,0,False
PA,124,510,363-7805,yes,no,0,172.9,95,29.39,170.2,92,14.47,163.0,111,7.33,10.7,4,2.89,5,True
WI,54,510,358-9615,no,yes,34,137.7,83,23.41,188.8,109,16.05,155.9,119,7.02,9.6,2,2.59,0,False
MO,82,408,386-1307,no,no,0,226.6,92,38.52,248.2,120,21.1,198.3,98,8.92,7.2,5,1.94,5,True
TN,141,415,325-8916,no,no,0,231.3,91,39.32,245.5,75,20.87,229.1,96,10.31,7.9,3,2.13,4,True
FL,52,408,369-5501,yes,yes,18,150.4,100,25.57,206.1,110,17.52,219.4,107,9.87,9.8,3,2.65,0,True
WI,131,415,352-5331,no,no,0,239.4,119,40.7,222.4,113,18.9,236.3,103,10.63,9.7,2,2.62,2,True
MO,116,510,352-1466,no,no,0,131.0,90,22.27,226.1,111,19.22,163.8,95,7.37,11.2,7,3.02,2,False
VA,123,510,378-9977,no,no,0,259.2,118,44.06,185.6,113,15.78,230.5,100,10.37,11.1,3,3.0,5,False
CA,78,415,365-6268,yes,no,0,148.6,80,25.26,237.8,99,20.21,170.4,92,7.67,10.5,2,2.83,1,True
WI,67,415,351-3026,yes,yes,29,139.7,116,23.75,195.6,93,16.63,220.4,90,9.92,9.4,6,2.54,3,False
WA,110,510,306-5756,yes,yes,20,147.5,95,25.08,176.7,99,15.02,151.5,114,6.82,11.1,7,3.0,1,True
GA,75,510,307-8965,no,yes,35,152.0,90,25.84,200.1,90,17.01,157.9,101,7.11,11.1,6,3.0,3,False
VA,69,510,361-5402,no,yes,34,214.6,92,36.48,148.4,84,12.61,177.2,109,7.97,9.5,6,2.57,0,False
WI,148,415,347-3104,yes,yes,25,167.0,90,28.39,247.8,87,21.06,170.2,107,7.66,13.1,5,3.54,0,True
WA,140,415,318-3352,no,no,0,128.5,96,21.85,175.5,97,14.92,206.4,87,9.29,11.1,5,3.0,1,False
MI,63,408,341-7085,no,no,0,152.1,122,25.86,169.2,104,14.38,205.4,96,9.24,8.8,2,2.38,1,False
CO,145,408,363-2516,no,no,0,201.5,119,34.26,154.3,76,13.12,180.0,101,8.1,13.2,2,3.56,5,True
GA,103,510,375-3193,no,yes,34,209.9,113,35.68,171.6,88,14.59,169.2,120,7.61,11.0,3,2.97,0,False
TX,107,408,372-4192,yes,yes,22,196.9,81,33.47,227.4,81,19.33,193.6,103,8.71,8.8,4,2.38,1,True
TX,50,510,318-6441,yes,yes,18,162.9,92,27.69,189.4,80,16.1,164.4,90,7.4,12.7,2,3.43,3,False
CO,145,510,390-4321,no,yes,37,197.1,89,33.51,157.7,76,13.4,159.6,117,7.18,7.1,4,1.92,3,False
FL,68,415,362-4496,yes,yes,26,249.2,103,42.36,251.2,89,21.35,156.4,102,7.04,11.1,6,3.0,4,True
GA,142,415,316-9224,no,no,0,198.1,87,33.68,254.6,76,21.64,188.6,94,8.49,9.9,7,2.67,1,False
CA,71,415,393-4787,yes,yes,36,259.8,101,44.17,169.9,87,14.44,184.2,113,8.29,11.9,5,3.21,4,False
MI,70,510,398-1794,no,yes,34,228.4,110,38.83,216.2,78,18.38,239.7,92,10.79,7.9,5,2.13,1,False
AZ,124,510,311-2786,yes,no,0,122.4,124,20.81,257.4,113,21.88,232.0,88,10.44,8.0,2,2.16,2,True
NY,107,408,302-1169,yes,no,0,219.1,114,37.25,248.0,104,21.08,153.1,89,6.89,13.5,4,3.65,5,False
WI,138,415,359-4656,yes,yes,22,158.8,123,27.0,212.4,97,18.05,234.8,119,10.57,7.7,2,2.08,1,True
AZ,76,415,361-6966,yes,yes,23,158.1,108,26.88,209.9,94,17.84,194.7,113,8.76,8.6,6,2.32,2,True
WA,78,408,306-2165,yes,no,0,208.5,108,35.45,164.8,116,14.01,216.8,94,9.76,11.9,6,3.21,2,True
TN,86,415,339-3199,yes,yes,35,209.4,99,35.6,149.6,92,12.72,166.5,97,7.49,10.2,5,2.75,5,True
VA,114,408,300-9223,no,yes,34,204.2,121,34.71,225.6,105,19.18,176.6,90,7.95,8.5,3,2.29,1,False
IN,100,415,397-5216,no,no,0,130.4,95,22.17,140.3,76,11.93,194.0,100,8.73,8.8,5,2.38,5,True
MO,138,415,345-8869,no,yes,26,185.7,107,31.57,151.5,93,12.88,171.1,114,7.7,13.3,7,3.59,4,True
NY,103,415,300-2231,yes,no,0,132.5,97,22.53,222.9,82,18.95,166.3,116,7.48,8.0,2,2.16,1,False
AZ,105,408,358-3872,no,yes,19,203.9,88,34.66,234.8,106,19.96,188.5,113,8.48,10.2,5,2.75,1,False
IN,111,415,351-5849,yes,yes,26,139.7,91,23.75,241.1,120,20.49,167.0,94,7.51,9.3,3,2.51,4,False
WA,91,415,378-6681,no,no,0,243.5,106,41.4,167.2,103,14.21,185.1,96,8.33,7.9,3,2.13,5,False
TX,89,415,311-3620,yes,yes,15,204.1,86,34.7,170.5,75,14.49,215.0,104,9.67,12.2,7,3.29,1,False
CO,70,415,358-4424,no,yes,27,188.3,106,32.01,179.0,81,15.22,243.3,104,10.95,7.9,7,2.13,4,True
FL,112,408,331-4094,yes,no,0,127.9,121,21.74,253.1,95,21.51,247.7,102,11.15,9.7,5,2.62,2,True
IN,65,415,368-3809,yes,yes,28,160.4,99,27.27,212.0,104,18.02,218.3,119,9.82,10.7,3,2.89,2,True
MI,78,408,306-1187,yes,no,0,188.5,113,32.05,183.9,79,15.63,194.8,95,8.77,10.6,6,2.86,2,False
GA,76,510,357-1254,yes,no,0,162.3,114,27.59,149.2,110,12.68,193.6,109,8.71,8.1,7,2.19,4,True
MO,126,510,373-3700,no,yes,39,225.3,122,38.3,245.3,115,20.85,169.5,93,7.63,13.4,3,3.62,4,False
GA,64,408,363-2640,no,yes,28,216.9,109,36.87,140.1,81,11.91,170.8,105,7.69,9.1,6,2.46,1,False
IN,135,408,394-6979,no,no,0,168.1,98,28.58,164.0,117,13.94,247.4,104,11.13,8.3,6,2.24,5,True
LA,138,510,351-3889,yes,no,0,226.2,102,38.45,180.3,103,15.33,172.6,98,7.77,10.2,2,2.75,4,True
GA,113,510,370-5836,no,no,0,128.7,124,21.88,173.6,93,14.76,182.2,86,8.2,9.0,2,2.43,5,True
TX,147,408,372-2624,yes,no,0,208.2,119,35.39,151.5,85,12.88,200.6,91,9.03,8.4,7,2.27,1,True
IN,145,415,337-5987,no,no,0,228.1,97,38.78,230.4,99,19.58,232.3,90,10.45,11.9,7,3.21,1,False
FL,57,408,394-4708,no,yes,35,250.3,109,42.55,226.8,81,19.28,173.8,101,7.82,10.3,5,2.78,0,False
TX,116,510,359-5356,yes,no,0,237.3,110,40.34,201.4,117,17.12,196.2,92,8.83,9.8,4,2.65,3,True
PA,133,510,389-4565,yes,no,0,217.6,109,36.99,180.2,89,15.32,165.2,92,7.43,10.9,2,2.94,2,True
IL,100,510,375-9758,no,no,0,130.4,95,22.17,168.0,120,14.28,234.5,112,10.55,9.0,2,2.43,5,True
NC,55,510,302-6968,no,no,0,144.6,92,24.58,221.8,119,18.85,237.3,111,10.68,13.2,7,3.56,3,False
CA,121,408,342-8986,yes,no,0,223.8,91,38.05,148.6,97,12.63,194.3,112,8.74,9.2,5,2.48,1,True
TX,115,510,347-2948,no,yes,22,131.5,117,22.36,223.0,116,18.96,156.3,109,7.03,13.9,7,3.75,5,False
SC,118,408,308-5365,yes,yes,16,215.8,123,36.69,175.0,97,14.88,199.4,117,8.97,11.3,2,3.05,1,True
MO,110,510,358-6601,no,yes,20,148.6,99,25.26,157.9,81,13.42,173.5,107,7.81,9.9,6,2.67,5,False
AZ,70,415,374-4841,yes,yes,35,187.7,91,31.91,224.3,78,19.07,235.2,85,10.58,9.2,3,2.48,0,False
AZ,143,415,361-1372,yes,no,0,235.8,103,40.09,144.3,98,12.27,177.9,98,8.01,8.3,6,2.24,0,True
CA,72,415,339-1605,no,no,0,206.4,103,35.09,236.8,119,20.13,206.1,98,9.27,10.8,3,2.92,5,False
SC,67,415,377-4551,yes,yes,34,194.2,96,33.01,232.1,93,19.73,196.7,107,8.85,8.3,2,2.24,3,True
NC,92,408,355-6087,yes,no,0,204.4,122,34.75,199.4,117,16.95,213.3,99,9.6,7.0,4,1.89,1,True
MO,117,415,318-6822,yes,yes,24,161.0,106,27.37,247.1,99,21.0,219.4,105,9.87,13.9,6,3.75,4,True
VA,52,408,399-5242,no,no,0,220.7,109,37.52,237.3,75,20.17,230.2,110,10.36,10.9,5,2.94,1,False
CA,89,408,364-9751,no,no,0,218.8,121,37.2,248.8,85,21.15,224.7,99,10.11,9.7,5,2.62,0,False
WA,63,408,366-8073,no,no,0,166.3,100,28.27,158.0,98,13.43,198.4,105,8.93,10.2,6,2.75,5,True
WA,134,510,341-1496,no,no,0,249.8,120,42.47,246.6,75,20.96,206.7,115,9.3,7.8,4,2.11,4,True
LA,106,510,313-1849,yes,no,0,245.2,96,41.68,239.9,97,20.39,239.3,116,10.77,11.6,5,3.13,4,False
CA,148,415,307-9207,no,yes,30,206.4,86,35.09,197.9,118,16.82,185.1,99,8.33,13.6,6,3.67,3,False
NC,54,510,302-2446,no,no,0,237.3,124,40.34,222.0,103,18.87,205.6,87,9.25,8.8,3,2.38,2,True
VA,119,408,344-4847,no,yes,34,189.8,85,32.27,255.6,102,21.73,232.5,119,10.46,11.7,6,3.16,1,False
WA,131,510,370-6477,no,yes,32,158.6,116,26.96,210.1,113,17.86,179.9,104,8.1,12.1,4,3.27,2,False
TX,110,415,367-2063,yes,yes,28,253.6,118,43.11,148.7,105,12.64,203.0,113,9.13,12.9,7,3.48,5,True
SC,99,510,368-3510,no,no,0,177.3,110,30.14,147.3,107,12.52,183.7,98,8.27,10.8,7,2.92,4,False
TN,150,510,304-5084,no,yes,32,124.8,97,21.22,154.2,99,13.11,172.7,94,7.77,10.1,2,2.73,4,False
OH,133,510,339-4757,yes,no,0,181.4,98,30.84,177.3,116,15.07,166.8,90,7.51,10.5,5,2.83,5,False
FL,51,415,391-3381,yes,yes,25,196.0,118,33.32,160.5,120,13.64,153.2,120,6.89,12.6,3,3.4,3,False
LA,125,510,308-6926,no,yes,31,123.1,81,20.93,180.9,89,15.38,185.9,104,8.37,8.6,2,2.32,0,False
WA,95,408,398-2786,yes,yes,26,171.5,90,29.16,156.7,98,13.32,192.8,92,8.68,7.2,3,1.94,2,False
TN,83,408,357-6063,yes,yes,21,254.4,89,43.25,217.7,105,18.5,241.0,95,10.84,11.9,4,3.21,0,False
OH,107,408,398-5086,no,no,0,149.8,85,25.47,258.6,107,21.98,210.4,120,9.47,12.3,5,3.32,5,True
GA,86,510,335-1452,no,yes,39,258.9,108,44.01,202.5,88,17.21,194.4,113,8.75,8.7,2,2.35,1,True
PA,64,510,333-7840,no,yes,30,125.6,95,21.35,249.8,78,21.23,234.7,92,10.56,9.0,6,2.43,4,True
VA,70,415,315-9841,no,yes,39,166.7,103,28.34,167.7,98,14.25,227.7,107,10.25,11.1,6,3.0,4,False
VA,145,510,369-2202,yes,yes,25,143.4,111,24.38,178.2,105,15.15,175.8,92,7.91,11.4,6,3.08,5,True
CO,148,408,340-6081,no,no,0,240.7,97,40.92,237.8,117,20.21,196.2,108,8.83,13.2,7,3.56,2,True
TX,123,510,379-9594,yes,yes,36,240.4,116,40.87,155.7,119,13.23,164.7,115,7.41,7.8,5,2.11,3,True
FL,53,510,391-9076,no,yes,15,169.4,88,28.8,212.0,101,18.02,213.7,95,9.62,13.7,3,3.7,3,False
MI,110,408,359-4493,no,yes,38,206.3,122,35.07,248.0,88,21.08,188.2,87,8.47,12.0,7,3.24,0,False
WA,134,408,380-1856,yes,no,0,253.2,122,43.04,148.9,112,12.66,181.8,101,8.18,13.9,4,3.75,4,False
OH,58,510,389-2231,no,yes,39,228.6,116,38.86,220.1,103,18.71,241.4,109,10.86,13.3,3,3.59,1,False
TX,115,415,395-6412,yes,yes,21,141.2,93,24.0,190.3,101,16.18,239.4,105,10.77,12.0,3,3.24,2,False
CO,133,408,317-4500,no,yes,21,137.4,100,23.36,192.2,94,16.34,243.1,92,10.94,7.9,4,2.13,3,False
IN,131,510,317-8722,no,yes,25,228.4,120,38.83,226.4,109,19.24,240.6,109,10.83,7.5,2,2.03,5,False
PA,137,415,322-5833,yes,no,0,200.7,113,34.12,216.5,91,18.4,224.7,104,10.11,10.9,4,2.94,2,True
IL,96,408,360-3597,no,yes,26,242.8,80,41.28,213.3,76,18.13,200.2,91,9.01,11.0,6,2.97,1,False
PA,112,408,306-5545,yes,yes,28,133.3,101,22.66,238.8,116,20.3,184.9,88,8.32,12.5,3,3.38,5,True
LA,53,408,356-8226,yes,no,0,143.8,121,24.45,242.5,101,20.61,156.5,87,7.04,8.2,3,2.21,5,False
TX,100,415,385-2063,no,yes,20,254.3,85,43.23,181.8,84,15.45,174.3,85,7.84,7.0,6,1.89,2,True
NY,58,415,316-9629,yes,no,0,196.4,107,33.39,237.7,82,20.2,170.5,87,7.67,11.8,2,3.19,3,True
CA,50,408,395-9913,yes,yes,40,131.9,117,22.42,164.0,117,13.94,203.4,98,9.15,9.8,7,2.65,2,False
MI,61,510,394-6170,no,yes,27,196.6,101,33.42,199.0,100,16.92,192.4,105,8.66,9.2,5,2.48,1,False
